"Real Gross Domestic product (GDP)"
"% change, previous period, 2024"
"Category","Growth rate, period on period"
"Costa Rica",4.321224296
"Denmark",3.477835968
"Spain",3.455254056
"Türkiye",3.327623108
"Lithuania",3.030196176
"Poland",3.02840052
"United States",2.793187185
"Chile",2.644311549
"Ireland",2.599466836
"Portugal",2.214600812
"Greece",2.086574785
"Canada",2.04626608
"Korea",2.003611018
"Slovak Rep.",1.938674455
"OECD",1.760151522
"Slovenia",1.731397146
"Colombia",1.493307288
"Norway",1.423726564
"Switzerland",1.390333652
"Mexico",1.350576314
"Czechia",1.251310962
"France",1.190467983
"United Kingdom",1.088125562
"Netherlands",1.08030678
"Belgium",1.070626659
"Australia",1.065827592
"Sweden",1.017796503
"Italy",0.783029394
"Israel",0.630175352
"Hungary",0.560118351
"Finland",0.374564766
"Luxembourg",0.358614659
"Latvia",-0.037062003
"Estonia",-0.090040308
"Japan",-0.242320156
"New Zealand",-0.302667949
"Germany",-0.495863993
"Austria",-0.659089738
"Iceland",-1.282875728
