"Share prices"
"Index, 2015=100"
"Category","Australia","Austria","Belgium","Canada","Chile","Colombia","Costa Rica","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Israel","Italy","Japan","Korea","Latvia","Lithuania","Luxembourg","Mexico","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Rep.","Slovenia","Spain","Sweden","Switzerland","Türkiye","United Kingdom","United States","Euro area (19 countries)","Brazil","Bulgaria","China","Croatia","India","Indonesia","Romania","Russia","South Africa"
"1970-01-01 00:00:00",7.011195,11.76789,,6.351961,,,,,,,1.326135,5.3736,9.696667,,,,2.615422,,8.440139,10.53843,,,,,0.0003341315,9.443169,13.96691,,,,,,,0.744145,9.316669,,4.211546,4.527286,,,,,,0.6498166,,,,0.7554218
"1971-01-01 00:00:00",5.85566,11.95279,,6.74528,,,,,,,1.498399,5.144466,9.337763,,,,2.536077,,6.596781,11.57847,,,,,0.0003284361,8.85339,12.29414,,,,,,,0.7878506,10.15904,,4.957758,5.369632,,,,,,0.628436,,,,0.6894156
"1972-01-01 00:00:00",7.038809,12.99461,,7.933442,,,,,,,1.9944,5.768803,10.23888,,,,3.732053,,6.251152,18.20512,,,,,0.0003758979,10.36645,12.91897,,,,,,,0.9184881,11.92665,,6.328209,5.970877,,,,,,0.6176912,,,,0.9411941
"1973-01-01 00:00:00",6.581208,15.40357,,8.484361,,,,,,,3.10075,6.362332,9.555772,,,,4.408604,,8.074178,23.36472,,,,,0.0004499384,10.89243,15.37751,,,,,,,0.9661233,10.80215,,5.468737,5.686059,,,,,,0.4174556,,,,1.151772
"1974-01-01 00:00:00",4.882499,14.56272,,7.089914,,,,,,,3.005708,4.785424,8.014446,,,,2.961593,,7.392407,19.80029,,,,,0.0004708216,8.38,12.87892,,,,,,,1.0082,7.930821,,3.220517,4.341396,,,,,,0.3703729,,,,1.27171
"1975-01-01 00:00:00",4.592401,14.48146,,6.975263,,,,,,,2.713156,5.12921,9.466769,,,,2.881412,,5.485302,20.09058,,,,,0.0004670247,8.508699,11.89361,,,,,,,1.095036,7.939083,,4.023795,4.528842,,,,,,0.305288,,,,1.099585
"1976-01-01 00:00:00",5.68406,14.69967,,7.219618,,,,,,,2.43694,5.070673,10.03485,,,,3.054441,,4.79002,22.39381,,,,,0.0006075118,8.902632,12.93427,,,,,,,1.251839,8.790467,,4.819667,5.393252,,,,,,0.324615,,,,0.9338689
"1977-01-01 00:00:00",5.451769,13.80704,,7.043305,,,,,,,1.992915,4.068822,10.08465,,,,3.835782,,3.966525,24.34008,,,,,0.0007024355,8.526606,11.42171,,,,,,,1.090914,9.284626,,6.178793,5.316549,,,,,,0.3331554,,,,0.9064026
"1978-01-01 00:00:00",6.177924,12.91291,,8.08344,,,,,,,1.927573,5.318737,10.91315,,,,5.806959,,4.210503,26.76133,,,,,0.001570038,8.562418,11.61543,,,,,,,1.153118,9.245574,,6.961597,5.317991,,,,,,0.3870881,,,,1.110572
"1979-01-01 00:00:00",7.639335,13.01557,,10.99958,,,,,,,2.352293,6.747144,10.48323,,,,6.213727,,5.37999,28.99296,,,,,0.003062239,8.459458,12.69031,,,,,,,1.147176,10.05816,,7.910371,5.77564,,,,,,0.4397411,,,,1.55828
"1980-01-01 00:00:00",11.57022,13.5249,,14.82392,,,,,,,2.505251,7.808971,10.06087,,,,6.109776,0.004654578,8.646474,30.56218,,,,,0.002870493,7.924517,16.41962,,,,,,,1.236515,10.00058,,8.454021,6.744715,,0,,,,0.4773742,,,,2.59744
"1981-01-01 00:00:00",11.70298,12.12979,,15.05269,,,,,,,2.580988,6.880051,10.28209,,,,6.337878,0.01418784,16.98875,35.54843,6.280263,,,,0.002595214,8.371048,23.36558,,,,,,,1.844863,9.265851,,9.534787,7.32983,,0,,,,0.6917012,,,,2.348407
"1982-01-01 00:00:00",8.965257,10.77073,,11.43866,,,,,,,3.451218,6.703141,10.4413,,,,5.188271,0.0464521,14.17134,35.39146,6.067703,,,,0.001477013,8.507581,22.84197,,,,,,,2.294079,8.594457,,11.04725,6.826087,,0,,,,0.8177356,,,,1.974859
