"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","ACCOUNTING_ENTRY","INDICATOR","SECTOR","COUNTERPART_SECTOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2022","2023","2024"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.ARG.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Argentina","Annual","Millions","17.1756816639704","34.2169614208878","7.87237776265503"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.ISL.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Iceland","Annual","Millions","0.839758467503788","0.570491991252438","0.73247433393309"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.IDN.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Indonesia","Annual","Millions","41.3581650597026","47.0744729859921","36.4105989656599"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.BEL.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Belgium","Annual","Millions","2.87212209845158","5.42295170222826","7.46027765632968"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.TX091.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","International Organizations","Annual","Millions","105.589020059574","187.428344950056","2746.49729174037"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.AUS.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Australia","Annual","Millions","3.59776119456642","4.21961096873338","3.40132810422299"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.GGY.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Guernsey","Annual","Millions","","1.74644003782729","2.91943202701793"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.BRA.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Brazil","Annual","Millions","2813.96957889687","3172.64261153597","2973.64987399825"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.IND.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","India","Annual","Millions","12.5292481118558","6.80740177551865","1.32452300083709"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.AUT.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Austria","Annual","Millions","3.81899596846673","3.8324977244518","30.1443836184584"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.BRB.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Barbados","Annual","Millions","","","2.72380035792978"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.BMU.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Bermuda","Annual","Millions","0.893654055927894","1.32297519947987","1.03061356909873"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.ROU.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Romania","Annual","Millions","9.15611928459544","17.980526441279","8.79051067871953"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.PRI.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Puerto Rico","Annual","Millions","0.154629696222684","0.170078305455405",""
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.NOR.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Norway","Annual","Millions","0.800096859512621","0.134086825462498","0.423477114624126"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.PER.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Peru","Annual","Millions","0.695210383380839","0.460612867190732","1.27023034368956"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.RUS.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Russian Federation","Annual","Millions","22.3848922399404","20.6157431881317","20.6535434567165"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.NZL.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","New Zealand","Annual","Millions","0.221632806409368","0.231818038300136","0.241622603458064"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.SAU.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Saudi Arabia","Annual","Millions","0.910692364224636","0.951393254920504",""
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.POL.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Poland, Republic of","Annual","Millions","","0.369292747798333","0.954809056008313"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.PAN.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Panama","Annual","Millions","47.4773835682921","45.7916125356109","20.1762499326477"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.TX983.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Not Specified (including Confidential)","Annual","Millions","45962.4378008541","58025.3827641325","5678.23693494165"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.NLD.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Netherlands, The","Annual","Millions","139.17674384408","160.140756326615","130.663841089761"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.PRT.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Portugal","Annual","Millions","0.838308810312508","0.246289260594598","5.03467335395599"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.COL.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Colombia","Annual","Millions","12.3598173407288","11.1403952390803","26.2723777357093"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.CYM.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Cayman Islands","Annual","Millions","0.58603010810672","37.9319376021041","77.5943666167939"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.DEU.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Germany","Annual","Millions","128.489754049251","121.974835951888","984.064178781385"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.CUW.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Curaçao, Kingdom of the Netherlands","Annual","Millions","27.1423","27.1873","1.5537152019128"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.MAR.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Morocco","Annual","Millions","8.87864601905349","",""
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.CHN.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","China, People's Republic of","Annual","Millions","59.4682007231081","6.64949675749158","31.4938970360142"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.HKG.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Hong Kong Special Administrative Region, People's Republic of China","Annual","Millions","30.9742958000154","19.941214155683","21.9658090302546"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.CAN.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Canada","Annual","Millions","154.972807731813","252.555705921154","326.740683437088"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.CHL.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Chile","Annual","Millions","156.314567845826","276.141709067912","584.217367196414"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.DNK.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Denmark","Annual","Millions","51.0746653015946","42.7563718955021","27.1830090281052"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.EGY.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Egypt, Arab Republic of","Annual","Millions","","0.241217438382883",""
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.FIN.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Finland","Annual","Millions","21.9750485062784","5.74257114486672","8.6177786189876"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.FRA.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","France","Annual","Millions","209.675233130986","223.748152373663","429.228599504961"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.GBR.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","United Kingdom","Annual","Millions","158.320524371004","170.788212104734","965.898936648503"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.TWN.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Taiwan Province of China","Annual","Millions","12.5608756788126","13.533855683551",""
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.USA.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","United States","Annual","Millions","22319.0203777326","29100.4442333469","68093.2063713451"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.THA.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Thailand","Annual","Millions","5.42060670313022","5.57855870441515","1.71190097949601"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.G001.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","World","Annual","Millions","85610.3899649664","111191.960220552","120853.914280164"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.GX031.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","World Minus 25 Significant Financial Centers","Annual","Millions","46490.54065070807","58948.9132595825","9250.5015605513"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.CHE.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Switzerland","Annual","Millions","89.5659715430244","83.6433513647379","69.8640240885779"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.TUR.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Türkiye, Republic of","Annual","Millions","69.6228130606271","94.7726540327443","1.48198617351897"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.ARE.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","United Arab Emirates","Annual","Millions","","","0.0856700320404884"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.ESP.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Spain","Annual","Millions","374.606078131115","688.076846708434","708.179822623183"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.SGP.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Singapore","Annual","Millions","0.511081888914568","","0.0964214719381128"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.KOR.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Korea, Republic of","Annual","Millions","24.2132309061962","32.9927278509368","557.724634344643"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.JEY.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Jersey","Annual","Millions","2.02707898929204","159.070797872215","5.79534926249146"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.JPN.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Japan","Annual","Millions","86.3651453498703","130.518490953366","61.2970761861235"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.LBR.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Liberia","Annual","Millions","","1.40242650274839",""
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.MHL.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Marshall Islands, Republic of the","Annual","Millions","","0.042303682250724","0.115546949418364"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.ITA.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Italy","Annual","Millions","12.3090760855609","8.72220400023642","11.0749663993419"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.SWE.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Sweden","Annual","Millions","114.255435990037","123.064307142266","460.525295215094"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.IRL.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Ireland","Annual","Millions","11312.5472361282","16652.0546649063","29361.8030641446"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.ISR.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Israel","Annual","Millions","3.58419320134556","3.99446951651989","3.93572415160058"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.MYS.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Malaysia","Annual","Millions","0.0686670800914157","0.0711842384301673","0.103657997132713"
"IMF.STA:PIP(5.0.0)","MEX.A.P_TOTINV_P_USD.S1.S1.LUX.A","OBS_VALUE","Mexico","Assets","Portfolio investment, Total investment, Positions","Total economy","Total economy","Luxembourg","Annual","Millions","976.582709281771","1159.41829017732","6351.46918225786"
